rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/std,train/clip_fraction,train/entropy_loss
-4272.93145846,984960,7560.0,3166,114,311,0.010256486013531685,0.9973811507225037,0.0025940505295336523,1130,5e-05,0.2,-0.0026217763922694657,0.004746686,0.8169147968292236,0.031087962962962963,-4.8635708021234585
-4252.601116409999,993600,7560.0,3194,115,311,0.006223367992788553,0.998005747795105,0.0020474670224400514,1140,5e-05,0.2,-0.0033821317358632332,0.0047739143,0.8154107332229614,0.031712962962962964,-4.853377122172603
-4232.5360685199985,1002240,7560.0,3221,116,311,-0.011931856162846088,0.9980696439743042,0.00237637237158466,1150,5e-05,0.2,-0.00328992728713072,0.0057355314,0.8154872059822083,0.0421875,-4.850316917278149
-4214.723332249999,1010880,7560.0,3249,117,311,-0.0015967143699526787,0.9987044334411621,0.0017931409904095171,1160,5e-05,0.2,-0.003263543827148775,0.004468858,0.8118957877159119,0.02710648148148148,-4.839384991327922
-4198.100895989999,1019520,7560.0,3276,118,311,0.003090175800025463,0.9984620809555054,0.001638575412863348,1170,5e-05,0.2,-0.00395214856274564,0.0056920666,0.8115875720977783,0.047962962962962964,-4.83013974542971
-4183.69089921,1028160,7560.0,3306,119,310,0.005353251472115517,0.9984914660453796,0.001595721153037933,1180,5e-05,0.2,-0.004440248101018369,0.0050466317,0.8126769661903381,0.042881944444444445,-4.8329585273177535
-4185.41928015,1036800,7560.0,3334,120,310,-0.0166917834430933,0.9990937113761902,0.0013772696904682865,1190,5e-05,0.2,-0.003008277904311264,0.0041667377,0.8106069564819336,0.028043981481481482,-4.830040586966056
-4169.95565208,1045440,7560.0,3362,121,310,0.0021231481805443764,0.9984516501426697,0.001473770164949302,1200,5e-05,0.2,-0.0043136670437848405,0.006497137,0.8114897012710571,0.05344907407407407,-4.826863719445687
-4171.16774556,1054080,7560.0,3390,122,310,0.04986001178622246,0.9988088607788086,0.0012175963352072155,1210,5e-05,0.2,-0.00403746941489064,0.006147965,0.8105555772781372,0.0516087962962963,-4.826287888420953
-4172.9248802600005,1062720,7560.0,3417,123,310,-0.006673899013549089,0.9985284209251404,0.001333761711354816,1220,5e-05,0.2,-0.004473260794421313,0.0058176615,0.8084338307380676,0.04327546296296296,-4.8202377432364
-4157.73565332,1071360,7560.0,3445,124,310,-0.02248883619904518,0.9990116953849792,0.0011806915712292755,1230,5e-05,0.2,-0.004224976836013849,0.0054052584,0.8068658113479614,0.04491898148148148,-4.809502494600084
-4159.92353405,1080000,7560.0,3474,125,310,-0.021335139870643616,0.998790979385376,0.001404383734657636,1240,5e-05,0.2,-0.005654560683760792,0.0057401964,0.8105015754699707,0.051805555555555556,-4.816289673911201
-4162.2459558400005,1088640,7560.0,3503,126,310,-0.004758965689688921,0.9987879395484924,0.0013708269674141235,1250,5e-05,0.2,-0.004482264639464793,0.0059921485,0.809492826461792,0.0600462962962963,-4.822059649714717
-4164.63909219,1097280,7560.0,3531,127,310,-0.019978955388069153,0.9989742636680603,0.0013887231082750347,1260,5e-05,0.2,-0.0031804767488157032,0.004586542,0.8085121512413025,0.031875,-4.8184146976470945
-4166.2927064000005,1105920,7560.0,3559,128,310,-0.020240584388375282,0.998406171798706,0.001585144148773031,1270,5e-05,0.2,-0.003241170346133273,0.0061844043,0.8045467138290405,0.04491898148148148,-4.806712932939883
-4168.35363546,1114560,7560.0,3587,129,310,-0.01400023140013218,0.9988247156143188,0.0012787280762481883,1280,5e-05,0.2,-0.002599694973927129,0.00454539,0.8013368844985962,0.027569444444444445,-4.789492731447573
-4153.67832274,1123200,7560.0,3615,130,310,-0.01097412034869194,0.9988382458686829,0.0013048178739673286,1290,5e-05,0.2,-0.0050650552730938355,0.0059912843,0.7983423471450806,0.05789351851851852,-4.773968209513911
-4140.04476878,1131840,7560.0,3643,131,310,0.002662185812368989,0.9991721510887146,0.0010638034505623013,1300,5e-05,0.2,-0.0040691785162521735,0.0047613163,0.7971674799919128,0.03693287037037037,-4.763670171808314
-4141.66746745,1140480,7560.0,3671,132,310,0.004219197668135166,0.998955488204956,0.0010269487506270201,1310,5e-05,0.2,-0.004808224510504968,0.0053972607,0.794427216053009,0.047685185185185185,-4.754580800091778
-4127.94858355,1149120,7560.0,3700,133,310,-0.01682165078818798,0.9989323019981384,0.0009261228575013336,1320,5e-05,0.2,-0.0027340045182413803,0.0038630036,0.7938836216926575,0.024675925925925928,-4.746627738740709
-4114.36950447,1157760,7560.0,3728,134,310,-0.006991715170443058,0.999194324016571,0.0009060107631483805,1330,5e-05,0.2,-0.0028741739069422087,0.005390832,0.7938450574874878,0.03349537037037037,-4.744892681616324
