time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate
80,-17786.428391912086,305,691200,7560.0,2262,1.0639057159423828,0.2,-5.92064643294723,-0.004923039959329698,0.9982739090919495,790,0.00032819497853914205,0.043645833333333335,-0.026490474119782448,0.0053095934,5e-05
81,-17659.645716456518,305,699840,7560.0,2292,1.060214877128601,0.2,-5.9128253290388315,-0.0038139192146007662,0.9987196326255798,800,0.0002633043647370801,0.03355324074074074,0.01436748169362545,0.0048390087,5e-05
82,-17535.863497591396,305,708480,7560.0,2320,1.0552153587341309,0.2,-5.896585823341653,-0.004752489622095945,0.998308002948761,810,0.000324025003205019,0.045335648148148146,-0.00204287376254797,0.006009841,5e-05
83,-17414.28988518085,305,717120,7560.0,2348,1.0529835224151611,0.2,-5.883597921442102,-0.004351722714663656,0.9985402226448059,820,0.00022023086777254422,0.03453703703703704,-0.0029974014032632113,0.0048024757,5e-05
84,-17177.77407375,305,725760,7560.0,2377,1.0486071109771729,0.2,-5.870165696673923,-0.002391375722794759,0.9988206028938293,830,0.0001754855419966151,0.02207175925925926,0.00413682172074914,0.0043938,5e-05
85,-17062.340031412372,305,734400,7560.0,2404,1.0489388704299927,0.2,-5.861942897019563,-0.0014709401658425728,0.999318540096283,840,0.00015453044482759045,0.0171875,-0.002940013073384762,0.0034250317,5e-05
86,-16949.026737520406,305,743040,7560.0,2432,1.0472636222839355,0.2,-5.859259348268862,-0.004012219053348182,0.9991867542266846,850,0.0001434072170404424,0.040393518518518516,-0.022851644083857536,0.005374816,5e-05
87,-16838.083511040404,305,751680,7560.0,2459,1.0470616817474365,0.2,-5.855896295618128,-0.0031132808774364767,0.9990298748016357,860,0.00019902748967676114,0.022916666666666665,-0.005398639943450689,0.004511427,5e-05
88,-16729.70240571,305,760320,7560.0,2487,1.0494132041931152,0.2,-5.8589054902394615,-0.00386788055214479,0.9988019466400146,870,0.0002142407393451625,0.035925925925925924,-0.016938483342528343,0.005314028,5e-05
89,-16074.207609550002,305,768960,7560.0,2514,1.0510395765304565,0.2,-5.868084985591747,-0.003561272965054269,0.9990839958190918,880,0.00012025192451633134,0.032511574074074075,-0.0074096075259149075,0.004275539,5e-05
90,-15479.69226457,305,777600,7560.0,2542,1.0458145141601562,0.2,-5.860132091310289,-0.0035493525176274556,0.9989067912101746,890,0.0001267715130665305,0.03045138888888889,-0.01296075526624918,0.004771587,5e-05
91,-14715.633840229997,305,786240,7560.0,2572,1.0457417964935303,0.2,-5.85111906864025,-0.004323167297471729,0.9989634156227112,900,0.00015249555882258358,0.03756944444444445,-0.01570919156074524,0.005192641,5e-05
92,-14303.781689189998,305,794880,7560.0,2599,1.0532828569412231,0.2,-5.865790230079933,-0.004184408241331025,0.9962216019630432,910,0.0003914308560639189,0.03799768518518518,0.005399760790169239,0.0047795633,5e-05
93,-13984.141407979996,305,803520,7560.0,2626,1.052948236465454,0.2,-5.87898040983412,-0.0038325434811068352,0.999243974685669,920,0.00017884833045644444,0.027002314814814816,0.007242240477353334,0.0044431784,5e-05
94,-13626.098949289997,306,812160,7560.0,2654,1.0480730533599854,0.2,-5.868765016485144,-0.003045625419838837,0.9991415739059448,930,0.00015655063585587347,0.02991898148148148,-0.0029468736611306667,0.004913723,5e-05
95,-13431.075067269998,306,820800,7560.0,2681,1.0518805980682373,0.2,-5.867749451178091,-0.0029746119696991862,0.9992817640304565,940,9.510188051838971e-05,0.030891203703703702,-0.01283591240644455,0.004661224,5e-05
96,-13241.203307949996,306,829440,7560.0,2709,1.0504333972930908,0.2,-5.872241263212981,-0.0031896917086474044,0.9992753863334656,950,9.906607095116568e-05,0.034409722222222223,-0.00447314465418458,0.0050333566,5e-05
97,-12896.126473339998,306,838080,7560.0,2736,1.0475518703460693,0.2,-5.863218999438816,-0.004455432192836371,0.9988961815834045,960,0.00014694155000648202,0.038078703703703705,-0.002964843763038516,0.004695144,5e-05
98,-12465.27838455,306,846720,7560.0,2765,1.0462260246276855,0.2,-5.854609571386266,-0.0045961132937076465,0.9992746114730835,970,8.894415034134268e-05,0.048125,0.003812473500147462,0.005641072,5e-05
99,-12177.08477586,306,855360,7560.0,2792,1.04257333278656,0.2,-5.845758748231111,-0.0048126428872691815,0.9994656443595886,980,0.00013804163263692452,0.047268518518518515,-0.01768900267779827,0.00580542,5e-05
100,-11790.83584518,306,864000,7560.0,2820,1.041184663772583,0.2,-5.835253011562206,-0.0034541791096260703,0.9993664026260376,990,0.00011886244476718948,0.02607638888888889,-0.028945159167051315,0.0043085427,5e-05
