time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/std,train/entropy_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/learning_rate,train/value_loss
7282,294,497,2147040,-0.0024302262436215055,0.2,-0.07674632221460342,0.004044117647058824,1.1197720766067505,-6.125454676151276,7560.0,4960,-5887.736245150001,0.9990015625953674,0.0025996787,1e-05,0.002592188692805768
7296,294,498,2151360,-0.0036045745994402645,0.2,-0.07685385644435883,0.009949448529411764,1.1193257570266724,-6.12556871806874,7560.0,4970,-5887.736245150001,0.9976325631141663,0.003875512,1e-05,0.0190696623395471
7312,294,499,2155680,-0.0029010588145705267,0.2,-0.06901736557483673,0.010386029411764705,1.1191751956939697,-6.124378325658686,7560.0,4980,-5821.266848190001,0.9981322288513184,0.004245665,1e-05,0.0010676176084363012
7325,294,500,2160000,-0.00120594123556443,0.2,-0.057705510407686234,0.00078125,1.119694471359253,-6.124911698173074,7560.0,4990,-5821.266848190001,0.996774435043335,0.0017068752,1e-05,0.023026883064577466
7340,294,501,2164320,-0.0044852232478339886,0.2,-0.06267103552818298,0.009650735294117647,1.1207317113876343,-6.127551914663876,7560.0,5000,-5757.7275542200005,0.9973112344741821,0.0019475673,1e-05,0.02220045450170908
7354,294,502,2168640,-0.0015171370722408242,0.2,-0.06346417963504791,0.0038143382352941175,1.1211779117584229,-6.130241736944984,7560.0,5010,-5757.7275542200005,0.9988407492637634,0.0025992095,1e-05,0.0045754720065708495
7369,294,503,2172960,-0.002242799832567792,0.2,-0.04727368429303169,0.0057444852941176475,1.1214988231658936,-6.131694629613091,7560.0,5020,-5695.594776140001,0.9977283477783203,0.0024242145,1e-05,0.031436370645293636
7384,294,504,2177280,-0.001775770929559846,0.2,-0.07813791185617447,0.004181985294117647,1.1225491762161255,-6.134220416405622,7560.0,5030,-5708.526598530001,0.9986928105354309,0.003152576,1e-05,0.0022478823574869347
7398,294,505,2181600,-0.0012934461968731792,0.2,-0.058484796434640884,0.0007123161764705882,1.1237573623657227,-6.138103795051575,7560.0,5040,-5708.526598530001,0.9966008067131042,0.001921306,1e-05,0.0191827611408799
7413,294,506,2185920,-0.004288217699949574,0.2,-0.05260952189564705,0.02663143382352941,1.1237540245056152,-6.140434333156137,7560.0,5050,-5725.713604850001,0.9952125549316406,0.0050707897,1e-05,0.0016208922579501043
7426,294,507,2190240,-0.0020298513864605303,0.2,-0.08368922024965286,0.0029411764705882353,1.1246623992919922,-6.141817857237423,7560.0,5060,-5725.713604850001,0.9968925714492798,0.0019359234,1e-05,0.01785377525820342
7442,294,508,2194560,-0.0021862141565447126,0.2,-0.05838487669825554,0.0028722426470588237,1.124719500541687,-6.1435858298750485,7560.0,5070,-5742.189436560001,0.9976497292518616,0.0022516635,1e-05,0.015072817805305342
7455,294,509,2198880,-0.003060737144722439,0.2,-0.09163793176412582,0.013074448529411765,1.1256392002105713,-6.145077394036686,7560.0,5080,-5742.189436560001,0.9979698657989502,0.004446671,1e-05,0.003747362125432119
7470,294,510,2203200,-0.0015645301411174896,0.2,-0.053400374948978424,0.0003676470588235294,1.12593674659729,-6.147428200525396,7560.0,5090,-5760.015710400001,0.9967504739761353,0.001387547,1e-05,0.01708684333887718
7485,294,511,2207520,-0.0019436908663277898,0.2,-0.07458984851837158,0.0077435661764705885,1.126320481300354,-6.148447892946355,7560.0,5100,-5773.372392539999,0.9978336691856384,0.0023823325,1e-05,0.002683713952480021
7499,294,512,2211840,-0.0012213315927724847,0.2,-0.057355768978595734,0.000390625,1.1268844604492188,-6.150314683072708,7560.0,5110,-5773.372392539999,0.9957783222198486,0.00075089687,1e-05,0.012926526276928866
7514,294,513,2216160,-0.0023970829891314838,0.2,-0.04949029162526131,0.0035386029411764706,1.1265250444412231,-6.150777410759646,7560.0,5120,-5787.957656670001,0.9939058423042297,0.0024949266,1e-05,0.0018840742614616723
7527,294,514,2220480,-0.003190730593632907,0.2,-0.06023918092250824,0.013235294117647059,1.126746654510498,-6.15020872074015,7560.0,5130,-5787.957656670001,0.995402991771698,0.004396314,1e-05,0.014992524480775876
7543,294,515,2224800,-0.00343472703722963,0.2,-0.07435590773820877,0.008846507352941176,1.1272013187408447,-6.151292591235217,7560.0,5140,-5803.164149869999,0.9972054958343506,0.0029322766,1e-05,0.009761450468452976
7557,294,516,2229120,-0.003912284827161142,0.2,-0.06703304499387741,0.026976102941176472,1.127933382987976,-6.153218043551726,7560.0,5150,-5803.164149869999,0.9976719617843628,0.0048653297,1e-05,0.0029669069869936826
7572,294,517,2233440,-0.0016906111343654201,0.2,-0.06918009370565414,0.0019301470588235295,1.1277844905853271,-6.154439172324012,7560.0,5160,-5822.866699630003,0.9957365989685059,0.0026993037,1e-05,0.012200979478246369
7587,294,518,2237760,-0.004720615267561858,0.2,-0.06705441325902939,0.019370404411764706,1.1281126737594604,-6.154434092605816,7560.0,5170,-5838.016471330001,0.9954082369804382,0.004229245,1e-05,0.0020265957514365093
7600,294,519,2242080,-0.002546958959839471,0.2,-0.03335036337375641,0.0021599264705882354,1.1288703680038452,-6.156598042740542,7560.0,5180,-5838.016471330001,0.9915196299552917,0.0023471538,1e-05,0.014329135859631659
7615,294,520,2246400,-0.0013165668731637517,0.2,-0.09138486534357071,0.00034466911764705885,1.128307580947876,-6.156927791763755,7560.0,5190,-5854.64641466,0.9964852929115295,0.0011864159,1e-05,0.00282962623057435
7629,295,521,2250720,-0.0014188559984391117,0.2,-0.06334405392408371,0.003285845588235294,1.1283290386199951,-6.155976688861847,7560.0,5200,-5854.64641466,0.9951958656311035,0.0023905742,1e-05,0.0064438435687300035
7644,294,522,2255040,-0.00348496317233452,0.2,-0.028042413294315338,0.00666360294117647,1.1290199756622314,-6.15702384149327,7560.0,5210,-5871.136977560001,0.995978593826294,0.0032804979,1e-05,0.009011872942038975
7658,295,523,2259360,-0.002675008819000248,0.2,-0.08151916414499283,0.013166360294117647,1.128989815711975,-6.158395101743586,7560.0,5220,-5871.136977560001,0.994278609752655,0.0044693314,1e-05,0.002674513595753952
7673,294,524,2263680,-0.0024302387356703336,0.2,-0.0684446468949318,0.0023897058823529414,1.1298878192901611,-6.15982203132966,7560.0,5230,-5890.7399282,0.9948949813842773,0.0024901547,1e-05,0.015073458298438173
7688,294,525,2268000,-0.003568938696031075,0.2,-0.0438980907201767,0.015739889705882353,1.1303379535675049,-6.162551750155056,7560.0,5240,-5911.144848899999,0.9963378310203552,0.0045443317,1e-05,0.0020308298747883837
7702,295,526,2272320,-0.003424284583888948,0.2,-0.05857942998409271,0.005997242647058824,1.130475640296936,-6.16367078107946,7560.0,5250,-5911.144848899999,0.9908672571182251,0.002314616,1e-05,0.012675385926302303
7718,294,527,2276640,-0.005069483133882065,0.2,-0.07980560511350632,0.04738051470588235,1.130610466003418,-6.163984685084399,7560.0,5260,-5929.952643749999,0.9976096153259277,0.0070076976,1e-05,0.002385408110635848
7731,295,528,2280960,-0.0013733571902027025,0.2,-0.06070515513420105,0.003446691176470588,1.1313949823379517,-6.165477651708266,7560.0,5270,-5929.952643749999,0.9928421378135681,0.002066856,1e-05,0.012380058767260326
7746,294,529,2285280,-0.003311116944464362,0.2,-0.0676843449473381,0.00854779411764706,1.1321552991867065,-6.168355293133679,7560.0,5280,-5948.9188328499995,0.9949171543121338,0.0031665007,1e-05,0.01089321569786133
